scenario,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,sample_idx,agent_idx,model_name,accuracy,rank_correlation,exact_best_index,model_best_index
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,26,1,quantum_encoded,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,26,1,residual_mlp,0.0,0.9930069930069931,8,5
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,27,0,ground_truth,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,27,0,quantum_encoded,1.0,1.0,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,27,0,residual_mlp,1.0,0.9790209790209792,10,10
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,27,1,ground_truth,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,27,1,quantum_encoded,1.0,1.0,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,27,1,residual_mlp,1.0,0.9580419580419581,8,8
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,28,0,ground_truth,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,28,0,quantum_encoded,1.0,1.0,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,28,0,residual_mlp,1.0,0.965034965034965,1,1
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,28,1,ground_truth,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,28,1,quantum_encoded,1.0,1.0,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,28,1,residual_mlp,1.0,0.9930069930069931,3,3
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,29,0,ground_truth,1.0,1.0,6,6
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,29,0,quantum_encoded,1.0,1.0,6,6
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,29,0,residual_mlp,1.0,0.9860139860139862,6,6
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,29,1,ground_truth,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,29,1,quantum_encoded,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,29,1,residual_mlp,1.0,0.9790209790209792,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,30,0,ground_truth,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,30,0,quantum_encoded,1.0,1.0,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,30,0,residual_mlp,1.0,0.9300699300699302,11,11
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,30,1,ground_truth,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,30,1,quantum_encoded,1.0,1.0,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,30,1,residual_mlp,1.0,0.9510489510489512,7,7
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,31,0,ground_truth,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,31,0,quantum_encoded,1.0,1.0,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,31,0,residual_mlp,1.0,0.9510489510489512,0,0
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,31,1,ground_truth,1.0,1.0,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,31,1,quantum_encoded,1.0,1.0,4,4
shallow_low_conflict,2,4,1,4.0,low,0.85,False,0.3863408778538387,31,1,residual_mlp,0.0,0.965034965034965,4,3
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,0,0,ground_truth,1.0,1.0,6,6
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,0,0,quantum_encoded,1.0,1.0,6,6
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,0,0,residual_mlp,1.0,0.8181818181818183,6,6
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,0,1,ground_truth,1.0,1.0,10,10
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,0,1,quantum_encoded,1.0,1.0,10,10
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,0,1,residual_mlp,1.0,0.9930069930069931,10,10
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,1,0,ground_truth,1.0,1.0,1,1
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,1,0,quantum_encoded,1.0,1.0,1,1
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,1,0,residual_mlp,1.0,1.0,1,1
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,1,1,ground_truth,1.0,1.0,10,10
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,1,1,quantum_encoded,1.0,1.0,10,10
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,1,1,residual_mlp,1.0,0.9790209790209792,10,10
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,2,0,ground_truth,1.0,1.0,10,10
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,2,0,quantum_encoded,1.0,1.0,10,10
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,2,0,residual_mlp,1.0,0.9090909090909092,10,10
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,2,1,ground_truth,1.0,1.0,4,4
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,2,1,quantum_encoded,1.0,1.0,4,4
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,2,1,residual_mlp,1.0,0.9720279720279721,4,4
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,3,0,ground_truth,1.0,1.0,9,9
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,3,0,quantum_encoded,1.0,1.0,9,9
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,3,0,residual_mlp,1.0,0.9720279720279721,9,9
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,3,1,ground_truth,1.0,1.0,5,5
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,3,1,quantum_encoded,1.0,1.0,5,5
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,3,1,residual_mlp,0.0,0.9020979020979022,5,8
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,4,0,ground_truth,1.0,1.0,8,8
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,4,0,quantum_encoded,1.0,1.0,8,8
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,4,0,residual_mlp,1.0,0.9930069930069931,8,8
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,4,1,ground_truth,1.0,1.0,11,11
medium_conflict,2,4,2,4.0,medium,0.5,False,0.2880215294809472,4,1,quantum_encoded,1.0,1.0,11,11
