scenario,baseline,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,competitive_extension,mean_abs_utility_error_mean,mean_abs_utility_error_std,mean_rel_utility_error_mean,mean_rel_utility_error_std,mean_abs_fidelity_error_mean,mean_abs_fidelity_error_std,kl_divergence_mean,kl_divergence_std,l2_distribution_error_mean,l2_distribution_error_std,br_match_rate_mean,br_match_rate_std,spearman_rank_correlation_mean,spearman_rank_correlation_std
N3_n8_L2_high_B10,sampling,3,8,2,10.0,high,False,0.017546896135149287,0.007997818796726154,0.6140522232535283,1.7085730878251384,0.017546896135149287,0.00799781879672615,0.00548892921314505,0.0014866949172243275,0.04142597275155268,0.0038101369419398243,0.9027777777777778,0.18334431236339582,0.97999222999223,0.011622873835846106
N5_n16_L3_high_B10,aggregate,5,16,3,10.0,high,False,0.04490064309170488,0.02286535603809634,0.15366109831169514,0.16576841636378614,0.04490064309170488,0.02286535603809634,0.6531833843402479,0.19395825269028683,0.2963005942482659,0.0650440004755909,0.7166666666666667,0.24257077258017898,0.7996503496503498,0.05524071400869819
N5_n16_L3_high_B10,mean_field,5,16,3,10.0,high,False,0.048208440676858644,0.019425811530269906,0.143715268144784,0.13436070307340367,0.04820844067685864,0.019425811530269916,0.47332168689766485,0.17617311514999462,0.24530832680420836,0.05662172653405846,0.7583333333333333,0.25007245326916355,0.8000582750582752,0.05627370068678082
N5_n16_L3_high_B10,no_mixing,5,16,3,10.0,high,False,0.06891488639828568,0.02708748455320158,0.20941543623668601,0.1671293320483957,0.06891488639828569,0.027087484553201584,0.4361150867054997,0.18966246053083058,0.24874725629557912,0.07526623616473281,0.55,0.21467872861962628,0.6113636363636364,0.10315352643433981
N5_n16_L3_high_B10,sampling,5,16,3,10.0,high,False,0.007776518229427119,0.003068938757519498,0.022332868013100828,0.017213159047065,0.007776518229427118,0.003068938757519497,0.01975780905328983,0.025430196924636838,0.025086714743923336,0.0029255474121820356,0.9583333333333334,0.08297022339981067,0.970862470862471,0.011033173124913108
N5_n4_L1_medium_B2,aggregate,5,4,1,2.0,medium,False,0.21728923848920037,0.0718401280900945,4.000841349645216,3.858765493931034,0.21728923848920037,0.0718401280900945,0.6102038554743615,0.5036586494492975,0.40191450849112126,0.17185373546058355,0.09166666666666667,0.11764599317505434,0.16824009324009329,0.16920261352319207
N5_n4_L1_medium_B2,mean_field,5,4,1,2.0,medium,False,0.1858683014493658,0.089468163297342,4.178961402555172,6.804952697330809,0.18586830144936584,0.089468163297342,0.40506662983493674,0.39774769807981863,0.3485207962195754,0.1613359546747516,0.1416666666666667,0.1612900888263851,0.2415501165501166,0.15794128434603946
N5_n4_L1_medium_B2,no_mixing,5,4,1,2.0,medium,False,0.19072290015035345,0.06794596847665652,6.953357589361541,17.098799979360475,0.19072290015035345,0.06794596847665652,0.30560647461588936,0.18584921656585646,0.36730691668783394,0.12780355843718927,0.13333333333333333,0.12740441145412124,0.08834498834498837,0.17041474355541286
N5_n4_L1_medium_B2,sampling,5,4,1,2.0,medium,False,0.010486659512429546,0.004828847082576736,0.3796288796944356,0.8732027806019876,0.010486659512429544,0.004828847082576736,0.0012304101632934848,0.0010899111927177502,0.01828939498277017,0.009480233232096754,0.8666666666666667,0.12740441145412118,0.9746503496503497,0.010411690659217415
N5_n8_L2_high_B6,aggregate,5,8,2,6.0,high,False,0.09433822746164117,0.03996548842072124,0.9099594447487626,0.7810001944014449,0.09433822746164117,0.03996548842072124,0.8453074391810383,0.3856571955028395,0.46674800898170044,0.10387927528328281,0.4166666666666667,0.2277807234403616,0.5560606060606061,0.139386804181649
N5_n8_L2_high_B6,mean_field,5,8,2,6.0,high,False,0.07913255500469361,0.03743787729616743,0.9620530881947426,0.9750875445897933,0.07913255500469361,0.03743787729616743,0.5825834087922505,0.38695589360983135,0.34183684442302614,0.10588749269748163,0.46666666666666673,0.22586388102931199,0.5997086247086248,0.10603974972488595
N5_n8_L2_high_B6,no_mixing,5,8,2,6.0,high,False,0.10919989812195156,0.036324048736035716,1.2043392759220326,1.0404549863953954,0.10919989812195156,0.036324048736035716,0.38490878016212227,0.1773752302213106,0.30935774245791603,0.08607325841076585,0.25,0.206418738616856,0.3748251748251749,0.13882621786970248
N5_n8_L2_high_B6,sampling,5,8,2,6.0,high,False,0.011123838084975385,0.004351393983859827,0.1121581852744389,0.09644404489191503,0.011123838084975387,0.004351393983859826,0.0055046336908461556,0.00420146649326866,0.030259768525242838,0.006296971665903769,0.9166666666666666,0.11671841502435296,0.9706876456876458,0.01173404842007056
