scenario,num_agents,state_dim,mixing_depth,mean_action_budget,conflict_level,rho,competitive_extension,mean_target_overlap,sample_idx,method,query_budget,observable_error,utility_error
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,4,amplitude_estimation,8,0.002273989301751061,0.00227398930175106
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,4,monte_carlo,8,0.002273989301751061,0.00227398930175106
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,4,amplitude_estimation,16,0.002273989301751061,0.00227398930175106
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,4,monte_carlo,16,0.002273989301751061,0.00227398930175106
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,4,amplitude_estimation,32,0.002273989301751061,0.00227398930175106
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,4,monte_carlo,32,0.002273989301751061,0.00227398930175106
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,4,amplitude_estimation,64,0.00013364736215049598,0.00013364736215049685
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,4,monte_carlo,64,0.002273989301751061,0.00227398930175106
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,5,amplitude_estimation,8,0.054199538018423976,0.054199538018424004
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,5,monte_carlo,8,0.1958004619815759,0.1958004619815759
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,5,amplitude_estimation,16,0.054199538018423976,0.054199538018424004
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,5,monte_carlo,16,0.008300461981575913,0.008300461981575885
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,5,amplitude_estimation,32,0.043345622989640065,0.043345622989640065
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,5,monte_carlo,32,0.008300461981575913,0.008300461981575885
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,5,amplitude_estimation,64,0.005190967853643702,0.005190967853643702
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,5,monte_carlo,64,0.022949538018424087,0.022949538018424115
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,6,amplitude_estimation,8,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,6,monte_carlo,8,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,6,amplitude_estimation,16,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,6,monte_carlo,16,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,6,amplitude_estimation,32,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,6,monte_carlo,32,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,6,amplitude_estimation,64,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,6,monte_carlo,64,0.0,0.0
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,7,amplitude_estimation,8,0.029470149717921598,0.029470149717921598
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,7,monte_carlo,8,0.029470149717921598,0.029470149717921598
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,7,amplitude_estimation,16,0.008590084026435019,0.008590084026435019
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,7,monte_carlo,16,0.029470149717921598,0.029470149717921598
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,7,amplitude_estimation,32,0.008590084026435019,0.008590084026435019
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,7,monte_carlo,32,0.0017798502820784018,0.0017798502820784018
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,7,amplitude_estimation,64,0.008590084026435019,0.008590084026435019
high_conflict,2,3,2,2.5,high,0.15,False,0.38454972824184563,7,monte_carlo,64,0.013845149717921598,0.013845149717921598
