profile_key,profile_indices,max_regret,is_pure_nash,is_epsilon_nash,utility_agent_0,utility_agent_1,regret_agent_0,regret_agent_1,scenario,model_name
2|15,"[2, 15]",0.4660296005036849,False,False,0.1185812594819268,0.172174777108808,0.4660296005036849,0.38822770047956257,mixing_high_conflict,exact
2|5,"[2, 5]",0.4660296005036849,False,False,0.1185812594819268,0.172174777108808,0.4660296005036849,0.38822770047956257,mixing_high_conflict,exact
3|10,"[3, 10]",0.4660296005036849,False,False,0.1185812594819268,0.172174777108808,0.4660296005036849,0.38822770047956257,mixing_high_conflict,exact
3|15,"[3, 15]",0.4660296005036849,False,False,0.1185812594819268,0.172174777108808,0.4660296005036849,0.38822770047956257,mixing_high_conflict,exact
3|5,"[3, 5]",0.4660296005036849,False,False,0.1185812594819268,0.172174777108808,0.4660296005036849,0.38822770047956257,mixing_high_conflict,exact
1|0,"[1, 0]",0.46602960050368514,False,False,0.11858125948192658,0.2721747771088077,0.46602960050368514,0.28822770047956286,mixing_high_conflict,exact
2|0,"[2, 0]",0.46602960050368514,False,False,0.11858125948192658,0.2721747771088077,0.46602960050368514,0.28822770047956286,mixing_high_conflict,exact
3|0,"[3, 0]",0.46602960050368514,False,False,0.11858125948192658,0.2721747771088077,0.46602960050368514,0.28822770047956286,mixing_high_conflict,exact
1|14,"[1, 14]",0.4694810482819982,False,False,0.1008443573869442,0.0909214293063724,0.46909670954811356,0.4694810482819982,mixing_high_conflict,exact
2|14,"[2, 14]",0.4694810482819982,False,False,0.1008443573869442,0.0909214293063724,0.46909670954811356,0.4694810482819982,mixing_high_conflict,exact
3|14,"[3, 14]",0.4694810482819982,False,False,0.1008443573869442,0.0909214293063724,0.46909670954811356,0.4694810482819982,mixing_high_conflict,exact
1|12,"[1, 12]",0.48718304992856104,False,False,0.2575770414265619,0.07321942765980954,0.16659584452731246,0.48718304992856104,mixing_high_conflict,exact
1|4,"[1, 4]",0.48718304992856104,False,False,0.2575770414265619,0.07321942765980954,0.16659584452731246,0.48718304992856104,mixing_high_conflict,exact
1|8,"[1, 8]",0.48718304992856104,False,False,0.2575770414265619,0.07321942765980954,0.16659584452731246,0.48718304992856104,mixing_high_conflict,exact
2|12,"[2, 12]",0.48718304992856104,False,False,0.2575770414265619,0.07321942765980954,0.16659584452731246,0.48718304992856104,mixing_high_conflict,exact
2|4,"[2, 4]",0.48718304992856104,False,False,0.2575770414265619,0.07321942765980954,0.16659584452731246,0.48718304992856104,mixing_high_conflict,exact
2|8,"[2, 8]",0.48718304992856104,False,False,0.2575770414265619,0.07321942765980954,0.16659584452731246,0.48718304992856104,mixing_high_conflict,exact
3|12,"[3, 12]",0.48718304992856104,False,False,0.2575770414265619,0.07321942765980954,0.16659584452731246,0.48718304992856104,mixing_high_conflict,exact
3|4,"[3, 4]",0.48718304992856104,False,False,0.2575770414265619,0.07321942765980954,0.16659584452731246,0.48718304992856104,mixing_high_conflict,exact
3|8,"[3, 8]",0.48718304992856104,False,False,0.2575770414265619,0.07321942765980954,0.16659584452731246,0.48718304992856104,mixing_high_conflict,exact
0|10,"[0, 10]",0.4892373540814178,False,False,0.18960630092125855,0.3715321562942109,0.39500455906435317,0.4892373540814178,mixing_high_conflict,exact
0|15,"[0, 15]",0.4892373540814178,False,False,0.18960630092125855,0.3715321562942109,0.39500455906435317,0.4892373540814178,mixing_high_conflict,exact
0|5,"[0, 5]",0.4892373540814178,False,False,0.18960630092125855,0.3715321562942109,0.39500455906435317,0.4892373540814178,mixing_high_conflict,exact
10|0,"[10, 0]",0.49500455906435326,False,False,0.08960630092125846,0.4715321562942107,0.49500455906435326,0.38923735408141774,mixing_high_conflict,exact
10|10,"[10, 10]",0.49500455906435326,False,False,0.0896063009212584,0.37153215629421066,0.49500455906435326,0.4892373540814178,mixing_high_conflict,exact
10|15,"[10, 15]",0.49500455906435326,False,False,0.0896063009212584,0.37153215629421066,0.49500455906435326,0.4892373540814178,mixing_high_conflict,exact
10|5,"[10, 5]",0.49500455906435326,False,False,0.0896063009212584,0.37153215629421066,0.49500455906435326,0.4892373540814178,mixing_high_conflict,exact
15|0,"[15, 0]",0.49500455906435326,False,False,0.08960630092125846,0.4715321562942107,0.49500455906435326,0.38923735408141774,mixing_high_conflict,exact
15|10,"[15, 10]",0.49500455906435326,False,False,0.0896063009212584,0.37153215629421066,0.49500455906435326,0.4892373540814178,mixing_high_conflict,exact
